Age,Thrust_power,Terameters,Sell_price
0.000000000000000000e+00,1.028844454058667282e+02,3.011760461357810925e+01,7.686588171888553234e+02
1.144554026401583657e+00,9.000000000000000000e+00,9.611021563454093553e+01,6.245010283779509308e+01
3.420318282670128163e+00,2.180412818403510755e+01,1.197116942676912466e+01,3.466895922621272348e+02
3.604186273780436434e+00,3.003542744504746054e+01,6.363589657095010921e+01,2.550964965848953909e+02
2.660054978428246564e+00,1.294449903532885742e+02,2.701023584272956413e+01,9.213033465336304744e+02
3.562740118257809563e+00,7.415338258040009123e+01,1.135558966340025790e+02,3.732285110079996002e+02
5.049178840243660815e+00,8.945919211243501934e+01,3.002430186902804721e+01,6.648693029239916541e+02
4.589966766012207877e+00,4.736653909232558846e+01,1.090162826393701749e+02,2.234452678599953686e+02
5.350715506677529376e+00,1.132537608390926778e+02,3.623270598392630859e+01,7.794008279261562393e+02
5.504877129558205517e+00,1.042541096688433271e+02,6.202249392519480864e+01,6.575058549912704393e+02
5.545096173345031687e+00,6.787312687219747431e+01,6.018018371085955920e+01,4.568689130818753483e+02
6.334035229924052324e+00,6.472275423013863360e+01,8.086387000922428570e+01,3.743500722384950450e+02
6.601620317850781738e+00,6.735006971226862049e+01,7.302042083471110345e+01,4.081168711146274291e+02
5.778442399778819016e+00,1.047187717956881272e+02,2.078692698266509264e+00,8.157738418407361678e+02
5.142760300444246369e+00,7.010907998776988848e+01,7.124772305022068508e+01,4.461373020598846892e+02
5.550248952274964509e+00,1.400488968875339424e+02,3.911760500934087759e+01,9.223694975016497892e+02
7.211655829442319643e+00,1.153689240383367292e+02,1.582376472514853383e+01,8.175923429992287765e+02
7.655869000588612749e+00,9.926344933396325132e+01,4.693067338331778160e+01,6.380648599245582773e+02
6.143184921494806439e+00,2.918501559998143691e+01,3.470093617326732272e+01,2.987685565815273208e+02
7.470234440042972324e+00,1.411069103939042293e+02,0.000000000000000000e+00,1.000000000000000000e+03
7.773854239380804110e+00,6.702152333275859064e+01,1.021666636546479712e+00,5.762636483648147987e+02
6.557945315045708767e+00,6.403558547181663130e+01,9.188124240805947807e+01,3.395042294073793983e+02
5.943394358160531965e+00,8.248793210378661911e+01,1.089941034210201849e+02,4.058138479291137628e+02
6.770407425013410752e+00,5.091750378974055735e+01,1.054822876715274731e+02,2.267045148766472664e+02
6.153625940593499877e+00,1.341921252079371811e+02,1.307704180517686439e+02,6.385566393036610862e+02
6.715470626679528543e+00,1.328715775645884776e+02,1.003388464711668178e+02,7.038645198454958063e+02
7.372653088912230146e+00,1.273894021108387591e+02,8.207984811756483623e+01,7.101626534663312214e+02
8.472339873367559449e+00,5.012943968505840786e+01,7.821649270839205315e+01,2.646338804811220484e+02
7.876342944203484464e+00,1.208653081765664581e+02,1.176895653699679478e+01,8.490849806189694391e+02
8.634119892110131644e+00,9.088577262973319648e+01,9.395365342377243678e+01,4.506008779868198530e+02
6.774715543114111505e+00,4.980068364158954353e+01,3.976892848442432893e+01,3.911541927814781729e+02
6.713162190172004884e+00,9.015377043926142164e+01,2.515941943803919667e+00,7.203204966428423859e+02
6.914343002972681340e+00,3.610561513208384099e+01,1.024018255797450117e+01,3.923347508086291668e+02
6.786644925391000172e+00,8.392794811454591297e+01,6.278758345926803486e+01,5.254896096002942159e+02
8.921217871959575163e+00,5.720783666516922494e+01,8.210536429607159903e+01,2.832641471811890597e+02
7.780965773778811823e+00,1.488807379421712369e+02,6.488106056543512068e+01,8.707737760395110627e+02
6.559887328614857793e+00,1.033012685715849983e+02,1.139665445905344114e+02,5.005013037060758734e+02
8.950983472226470283e+00,1.079078742702901224e+02,1.053359967048202748e+02,5.075481470036351084e+02
8.174407726590104062e+00,8.511324940015911977e+01,7.505624088951623207e+01,4.733481325715955563e+02
8.628030501150735887e+00,9.973342356220670979e+01,1.797772442511378799e+01,6.999641939831532227e+02
7.351739169845087574e+00,1.301584213350054142e+02,1.143392729984151970e+02,6.418281653733411076e+02
7.973648190216419351e+00,4.080243178112449698e+01,1.104773851538048035e+02,1.369086332218192865e+02
8.383718321744019875e+00,7.982471728317153747e+01,1.154428797870176595e+02,3.338363466797059118e+02
7.954407530637866763e+00,1.343681008573199165e+02,7.025254486275224863e+00,9.380314441199629982e+02
9.201662444931649532e+00,1.480871825243571891e+02,5.054125589526906737e+01,8.765589260653525798e+02
9.326579400766874528e+00,1.387641583366173563e+02,1.380888510076815976e+02,5.896348457323255161e+02
8.854644284788880881e+00,1.258321994183810659e+02,8.398896345720947920e+01,6.701133606458848817e+02
9.327641880542721253e+00,5.727953790651034183e+01,2.284946269852685319e+01,4.324805878984897731e+02
8.528101996077740665e+00,1.201829122471027205e+02,4.207535942763152548e+01,7.540691107351871096e+02
7.485099583405766310e+00,9.824208569898078736e+01,8.611024348669327821e+01,5.311469536298372986e+02
9.798347230070557856e+00,9.207638125316688615e+01,8.065120212158691970e+01,4.685913004490433877e+02
8.685910338885168613e+00,1.506528185399285462e+02,8.223508296339012702e+01,8.178319732572911107e+02
7.848455544476273360e+00,7.665960460673356636e+01,1.324793605055098453e+02,2.803021461949199988e+02
9.617420839143594691e+00,1.471015110121416001e+02,1.154616326675350138e+02,6.886487723789260826e+02
8.699951802669762202e+00,6.204450649835238352e+01,1.676604022792664495e+01,4.893755439409038672e+02
8.571687165287595889e+00,1.176412060283493446e+02,2.722091061401484424e+01,7.762591418988833993e+02
8.011795864378324694e+00,5.978410556838866086e+01,8.838760384543905957e+01,2.985885789075185244e+02
9.245177992846667081e+00,1.417124203014266186e+02,1.413087426050356328e+02,5.997254307533095243e+02
8.414923151607023755e+00,1.209868365164061856e+02,8.982826542377324586e+01,6.362667466079140013e+02
9.581250089692032290e+00,4.710808552897552204e+01,4.670141227759788904e+01,3.065413600638848379e+02
9.835813674089477487e+00,1.487808919894821145e+02,7.775282150164343875e+01,7.931549213881662581e+02
9.478963548101068781e+00,1.255498419978836608e+02,3.705303698098694554e+01,7.772372039840656726e+02
9.054736141099107627e+00,1.552970087188519130e+02,2.097476585221470913e+01,9.961681890764915579e+02
1.009002459263136586e+01,6.801724563855445638e+01,4.666507087145267008e+01,4.134964239516859266e+02
9.716746328896858742e+00,1.057050348803650053e+02,1.085383040778784363e+02,4.730840174916945671e+02
9.332513041882320337e+00,7.598696667570739294e+01,1.014404317238380031e+02,3.319240719770938313e+02
7.994659933173585031e+00,6.275069543121016125e+01,8.187358735921299058e+01,3.325972943525407004e+02
9.037579729415474716e+00,1.204439326375363777e+02,1.559521132936896670e+01,8.138557754463357696e+02
8.291977827714759997e+00,9.495943439739862413e+01,4.671108099290003679e+01,6.030901303245084364e+02
1.035713788866919316e+01,8.250325472457710418e+01,7.924241564589576114e+01,4.029052488423802174e+02
9.464837326195400635e+00,6.361827766363639824e+01,5.449046239317802076e+01,3.812515279450980756e+02
8.508577425438771158e+00,1.353532245882396978e+02,7.384538984554126273e+01,7.543928141546473398e+02
1.010345241862656707e+01,1.118305946402921336e+02,1.177935929150626606e+02,4.719183474289129663e+02
9.210308411397109651e+00,9.690124150520453838e+01,6.250931453849719333e+01,5.560320432749716701e+02
9.217573070692827386e+00,8.516309573747709294e+01,6.866869970139356383e+01,4.726766428279538559e+02
1.028304170234357429e+01,6.247519956680705633e+01,7.233727966389405140e+01,3.103347348709332323e+02
8.780328649195842772e+00,1.350696610039844074e+02,1.684730205474376419e+01,8.985202652553963389e+02
1.030106619747561503e+01,1.167182918070571418e+02,4.136478701283412107e+01,6.983326244089925012e+02
8.801881336190568561e+00,1.124680710075635375e+02,4.726080884121169845e+01,6.928169358528034536e+02
1.137274878071695916e+01,9.874877414162357070e+01,1.393619524178544111e+02,3.105089916607395821e+02
9.361241421306655042e+00,1.069552460790592079e+02,4.083280353001166674e+01,6.639978682819229334e+02
9.698080904589607698e+00,7.821047313094399556e+01,1.157518951632620769e+02,2.988709782598440938e+02
1.061712909024841167e+01,1.407056842279551176e+02,5.603427578059601899e+01,7.865675142142796403e+02
1.066670246565159630e+01,1.145691429096172271e+02,1.108297082274188625e+02,4.942999026974200660e+02
9.905907069726815450e+00,6.583005345715440626e+01,1.370741228885562180e+02,1.669227663399406936e+02
9.486126893082404976e+00,1.461160752332432935e+02,6.002147033992257974e+01,8.332431800066132155e+02
1.001562084175697187e+01,1.187757573442564905e+02,5.909216232015044312e+01,6.700489883692247304e+02
9.371511255593862444e+00,6.363623769943366426e+01,1.403486286422145213e+02,1.579396239914044031e+02
1.055074602311356102e+01,1.090224303126469323e+02,6.293160152359167370e+01,5.910042316565727560e+02
1.003359983522377163e+01,1.126803833614651467e+02,5.254560440673910904e+01,6.522889005634576733e+02
1.090260206829134049e+01,6.449054015774601112e+01,3.442860810503461266e+01,4.053695852586203046e+02
9.790585938413823186e+00,5.686735751510244086e+01,1.276031696381049443e+02,1.448752789956745914e+02
1.125248725496174984e+01,1.600593209505233006e+02,1.356223422183774971e+02,6.710202745400026743e+02
9.546232508102379555e+00,6.830208559065884799e+01,8.735391358163219877e+01,3.186373935285841981e+02
1.055381775537095024e+01,1.068269855263594224e+02,2.168144634339124366e+01,6.877792788219305748e+02
1.127644373264689293e+01,1.116451153521350790e+02,8.821143266577674069e+01,5.221960169856392895e+02
1.225908804151458575e+01,5.836442140247081767e+01,1.324439815322841412e+02,7.976898001690358342e+01
1.009500895311954949e+01,9.691561617058873424e+01,6.952220038585801376e+01,5.167993479520373512e+02
1.226488538263958361e+01,1.369387702645242371e+02,8.193442263948359994e+01,6.566303603758377676e+02
1.051957049346689743e+01,5.381670636244232497e+01,4.781901722850903269e+01,3.219368677514185038e+02
1.091107501338876240e+01,9.070481053592990861e+01,1.495308067111189700e+02,2.517741978986487652e+02
1.121122722006601435e+01,1.680487366351788410e+02,3.780718470994334268e+01,9.742493465888613855e+02
1.164109627465761676e+01,7.467744218750866025e+01,1.125277681178857847e+02,2.385924075438914542e+02
1.109368405864828588e+01,8.999902686905824112e+01,4.021759677382064524e+01,5.293532177717188461e+02
1.177623444149276288e+01,1.076878621583387599e+02,5.291834480285011466e+01,5.796968215667860704e+02
1.009133270383444270e+01,1.021300178333670345e+02,5.975086217520993159e+01,5.717927837164079392e+02
1.158930686835198287e+01,1.121604204678916545e+02,6.137894933117748764e+01,5.861514453314060802e+02
1.277327760539915502e+01,1.459708858546867702e+02,7.940250269554685758e+01,6.985478350094629150e+02
1.248356278049860890e+01,8.539402839691514657e+01,1.220268901272886950e+02,2.522305535577915805e+02
1.151522315084170600e+01,7.136964180028772375e+01,8.173390881177114409e+01,3.038727950441923440e+02
1.041003625545251765e+01,1.211361234882665201e+02,2.572206181316614249e+01,7.600123324509404483e+02
1.259586277532178045e+01,1.001356909202187495e+02,1.163351870787925151e+02,3.476298983008543928e+02
1.090339428956069767e+01,7.723843169048838320e+01,4.282673457587253552e+01,4.571812286113712958e+02
1.087408512719225229e+01,1.135597972755330716e+02,4.448691585156675643e+01,6.577255991235557531e+02
1.200279641577151679e+01,5.841332641635473522e+01,8.656372698239674435e+01,2.076187474317265469e+02
1.269212649157102035e+01,1.369619074276326387e+02,7.309735101254942435e+01,6.676065759046514358e+02
1.061199947150211642e+01,1.290803342343826330e+02,4.796280302951699070e+01,7.443536257602892192e+02
1.311040565202054076e+01,1.114894087132254725e+02,9.005686747280446980e+01,4.663150203115287127e+02
1.051958668050087198e+01,6.919589324050477330e+01,1.377999018531284037e+02,1.709361561759728261e+02
1.164676630410356672e+01,7.764744843641209116e+01,4.931403355451160309e+01,4.248910114463473064e+02
1.080238110674553198e+01,9.566046609436028803e+01,1.578226428835782258e+02,2.599499030287157666e+02
1.182201284556563792e+01,9.551316320370504798e+01,1.520453682936700943e+02,2.477081382464512274e+02
1.321977367944512594e+01,9.401547997269190660e+01,1.361063063018087007e+02,2.428295171129061032e+02
1.251073967598122572e+01,1.597150708149808622e+02,1.495788899191649648e+02,5.985606745590091577e+02
1.132405252547589392e+01,9.034790496352580647e+01,1.323741072755690311e+02,2.851158308066430322e+02
1.339732919259965982e+01,1.660733064441963052e+02,1.057133974920203059e+02,7.235470729908281555e+02
1.119785307663658003e+01,1.001202292223562438e+02,4.246041893459415917e+01,5.796374203533432592e+02
1.100966027016953497e+01,7.180662426416105859e+01,1.212402248619991951e+02,2.170221321288678666e+02
1.193435734934585568e+01,1.330792063746289671e+02,4.525587136513802733e+01,7.402326913798054875e+02
1.230868541269535221e+01,1.655774911652578112e+02,1.223722796670101474e+02,7.092772947229923375e+02
1.193165765678451962e+01,8.261579499708930996e+01,4.986147774660079079e+01,4.409696588279052776e+02
1.244139806101553170e+01,1.500734187374295345e+02,3.564494691498501311e+01,8.455614298498226162e+02
1.223201580290649559e+01,1.613243150083579280e+02,1.443224815900020133e+02,6.306108144352850786e+02
1.182745060949635629e+01,9.693898620837344993e+01,1.411076034801197636e+02,2.863251921740927628e+02
1.236565736999695808e+01,6.877403722190038593e+01,7.487992806598884954e+01,2.864610319682579984e+02
1.230416594673686959e+01,1.028672728733558017e+02,1.193006541731316474e+02,3.634722659976790737e+02
1.269108857285903369e+01,1.277572921049936241e+02,5.446831150942136190e+01,6.654149862395892114e+02
1.276410593823979767e+01,1.680249651494425791e+02,1.490802837192790378e+02,6.381737480099546929e+02
1.275630916710140639e+01,1.721282810586831999e+02,1.558988956639797436e+02,6.458974379776013848e+02
1.221684896300128642e+01,1.755138929460946997e+02,8.790984538946011639e+01,8.571529435280539246e+02
1.264263993950990539e+01,1.678991309087255672e+02,1.186418713807611027e+02,7.215296106775717817e+02
1.358001903226690033e+01,6.510045089346851910e+01,1.247233595729765625e+02,9.673371348865953223e+01
1.325609043640947959e+01,1.600097457463728858e+02,5.107952408733036265e+01,8.386456411708549012e+02
1.226808958024327012e+01,7.683735979134863214e+01,8.546332835973325359e+01,3.047383501796775818e+02
1.338345100161598644e+01,1.717793919908107796e+02,3.810122386338723288e+01,9.363802084892788571e+02
1.285929390779421766e+01,1.745667415789301060e+02,3.581882190513344710e+01,9.727319218566649397e+02
1.318032238144271417e+01,1.319410792398202261e+02,5.689309694966101461e+01,6.680910369401667595e+02
1.335276914186640340e+01,6.995871913015150767e+01,1.613271305276134626e+02,3.640635608458343597e+01
1.376162894480211740e+01,1.189783012453638520e+02,1.586646585372911602e+02,3.087375189103356661e+02
1.269981722759338361e+01,6.861771090569962439e+01,8.520755830086010008e+01,2.500910223721646730e+02
1.282701180619223003e+01,1.266282013432966238e+02,1.497475718924496562e+02,4.010919311343902791e+02
1.471209034417330130e+01,1.385700136533705518e+02,7.055478344937223767e+01,6.210813822213906406e+02
1.462040454290864844e+01,1.732000803820672274e+02,8.116960990569879186e+01,7.909538037354175231e+02
1.271712402362458150e+01,8.781769999189617693e+01,3.907533125787329453e+01,4.770134369855238674e+02
1.348842995550856294e+01,9.898980653299574328e+01,1.511911278689765368e+02,2.240107183367213395e+02
1.250149044439021040e+01,1.056003132768619110e+02,1.041793974675818646e+02,4.148359678826658978e+02
1.294651030774177691e+01,1.232292859412997501e+02,6.758020823641828656e+01,5.952764870930119514e+02
1.285378266366135236e+01,1.112344155073006249e+02,6.725624240233723583e+01,5.317849372379869237e+02
1.429524169487166141e+01,1.127311378129876687e+02,7.178615833962305715e+01,4.861638690151125957e+02
1.371578888312056499e+01,1.667107030922406921e+02,1.097824334995691089e+02,7.067155052443455361e+02
1.510924357592734246e+01,1.087360946910368256e+02,4.135094711039288740e+01,5.159927214333642951e+02
1.507792099357931725e+01,1.508700068960447425e+02,1.214037094449811320e+02,5.423609086576781237e+02
1.384188696792396911e+01,1.608335687922684656e+02,1.646486869397154464e+02,5.253677338120413651e+02
1.326345689258182858e+01,1.084598155463169320e+02,1.199770889793499720e+02,3.649744422562480963e+02
1.402044388729535918e+01,7.841899248901432884e+01,1.121459095508411110e+02,1.928158765906218832e+02
1.454119867477260897e+01,1.655433551215058685e+02,8.467401366981148669e+01,7.403405556106333734e+02
1.381049339319694624e+01,7.545416363193685072e+01,6.901166466708518499e+01,2.979716244620802286e+02
1.327472760565524723e+01,1.534629381606037271e+02,1.263433608140754671e+02,6.040230756889876602e+02
1.406686705605470422e+01,1.259682524173206133e+02,1.005592616313441710e+02,4.900242950448220540e+02
1.502144484550633941e+01,7.482259901149973302e+01,6.188474888201213275e+01,2.719323298865608081e+02
1.561640792099411001e+01,7.916496368452905585e+01,7.393475498734011353e+01,2.450848560250201160e+02
1.401254826660522745e+01,1.440429924285469667e+02,8.136653569999013769e+01,6.435934858438016590e+02
1.385826113836858120e+01,1.130810476355930660e+02,1.058749631641862550e+02,4.105141410926232197e+02
1.384583485250938040e+01,1.418690132982286229e+02,7.874204232848302354e+01,6.433208214237440643e+02
1.442330989575088296e+01,1.274409917300171315e+02,8.563509306373622110e+01,5.281591721212757875e+02
1.528684154035422438e+01,1.053230499927811792e+02,1.406326637446105678e+02,2.288447281104413094e+02
1.434661306269490666e+01,1.837636607593528879e+02,5.897950721571344701e+01,9.195408365826845056e+02
1.607425355269134570e+01,8.090280679553622178e+01,9.537050752299587941e+01,1.815029122572100846e+02
1.657032281634853987e+01,1.683665364791573325e+02,1.253017524719807483e+02,5.781666718480261125e+02
1.592235528066407468e+01,7.927177388088185239e+01,1.432595291449278818e+02,5.133443451654349587e+01
1.613939187105185624e+01,1.332893121725948049e+02,1.517309877111102026e+02,3.262360204377689570e+02
1.632587425244020451e+01,1.774105279982158834e+02,1.244409208981264214e+02,6.398382303687377544e+02
1.484669547316396176e+01,1.512634926403764553e+02,1.617274614950328555e+02,4.485081411681759960e+02
1.624579087847551406e+01,1.111537597907461645e+02,6.731299160677517079e+01,4.201286936676391406e+02
1.593774728674192431e+01,1.273169592280824247e+02,9.365395198591967585e+01,4.527364873283327142e+02
1.534830587302965910e+01,1.607001188026283955e+02,1.552645718587198758e+02,4.997525304455999162e+02
1.476842194286384569e+01,1.158938713987452473e+02,7.604497243134188977e+01,4.773691211588803753e+02
1.610205199136271048e+01,1.288891014986201071e+02,9.745692622939760952e+01,4.456388461768908655e+02
1.577117923247513787e+01,9.709775370591512456e+01,6.557717973857664617e+01,3.618382421377214655e+02
1.746888245842507459e+01,1.030030228668313299e+02,6.465025312102190469e+01,3.350277403004130861e+02
1.694207415358435043e+01,1.135926276787823355e+02,1.265787967456737988e+02,2.515305190759006848e+02
1.659977341298167630e+01,1.250875205632389395e+02,8.751266680827892230e+01,4.315650585869859128e+02
1.617941318171268605e+01,9.134970293857699630e+01,1.199910375489902066e+02,1.729977478095511572e+02
1.876842985985920720e+01,1.188691287838052943e+02,1.426374653686560521e+02,1.651388951864665557e+02
1.750173248518409608e+01,1.052715344474553945e+02,1.306795426479654623e+02,1.704589228630437674e+02
1.936778102632108300e+01,9.595778503288326533e+01,1.391841778737519633e+02,2.000000000000000000e+01
1.729236208523418483e+01,1.317187382939850409e+02,1.023297861179928532e+02,4.023591779199558118e+02
1.776950420396625319e+01,1.105470658183718911e+02,1.040184500507229473e+02,2.601689880516575499e+02
2.000000000000000000e+01,1.786805604987381741e+02,8.035309958238720185e+01,6.117823956286052862e+02
1.957547768186917025e+01,2.000000000000000000e+02,2.000000000000000000e+02,4.379806523453086697e+02
